,date,hdax_open,hdax_close,total_cases,new_cases,stringency_index,containment_index,Monday,Tuesday,Wednesday,Thursday,Friday
174,2020-10-01,7051.18,7034.37,295539.0,2626.0,49.54,54.46,0,0,0,1,0
175,2020-10-02,6990.41,7009.84,298374.0,2835.0,49.54,54.46,0,0,0,0,1
176,2020-10-05,7056.22,7092.98,304673.0,3100.0,49.54,54.46,1,0,0,0,0
177,2020-10-06,7108.3,7124.25,307127.0,2454.0,49.54,54.46,0,1,0,0,0
178,2020-10-07,7125.75,7128.76,311137.0,4010.0,49.54,54.46,0,0,1,0,0
179,2020-10-08,7173.15,7190.65,315941.0,4804.0,49.54,54.46,0,0,0,1,0
180,2020-10-09,7193.46,7204.55,320495.0,4554.0,49.54,54.46,0,0,0,0,1
181,2020-10-12,7220.51,7250.5,332850.0,6541.0,49.54,54.46,1,0,0,0,0
182,2020-10-13,7250.07,7182.91,337314.0,4464.0,49.54,54.46,0,1,0,0,0
183,2020-10-14,7189.84,7185.53,344487.0,7173.0,49.54,54.46,0,0,1,0,0
184,2020-10-15,7079.2,7021.14,352107.0,7620.0,58.8,60.42,0,0,0,1,0
185,2020-10-16,7053.86,7128.83,359802.0,7695.0,58.8,60.42,0,0,0,0,1
186,2020-10-19,7154.47,7107.65,377068.0,8397.0,58.8,60.42,1,0,0,0,0
187,2020-10-20,7097.09,7047.58,385591.0,8523.0,58.8,60.42,0,1,0,0,0
188,2020-10-21,7061.4,6939.08,397922.0,12331.0,58.8,60.42,0,0,1,0,0
189,2020-10-22,6891.85,6933.1,403874.0,5952.0,60.65,61.61,0,0,0,1,0
190,2020-10-23,6918.02,6985.59,417350.0,13476.0,60.65,61.61,0,0,0,0,1
191,2020-10-26,6924.22,6720.4,450258.0,12560.0,60.65,61.61,1,0,0,0,0
192,2020-10-27,6731.92,6664.96,463419.0,13161.0,60.65,61.61,0,1,0,0,0
193,2020-10-28,6569.81,6407.46,479621.0,16202.0,60.65,61.61,0,0,1,0,0
194,2020-10-29,6417.47,6420.6,498354.0,18733.0,60.65,61.61,0,0,0,1,0
195,2020-10-30,6356.41,6398.2,517736.0,19382.0,60.65,61.61,0,0,0,0,1
196,2020-11-02,6425.82,6514.2,569598.0,25252.0,62.04,62.5,1,0,0,0,0
197,2020-11-03,6549.98,6674.88,577131.0,7533.0,62.04,62.5,0,1,0,0,0
198,2020-11-04,6588.33,6814.15,608611.0,31480.0,62.04,62.5,0,0,1,0,0
199,2020-11-05,6875.3,6936.5,631172.0,22561.0,62.04,62.5,0,0,0,1,0
200,2020-11-06,6904.29,6889.05,653992.0,22820.0,62.04,62.5,0,0,0,0,1
201,2020-11-09,7012.33,7187.94,689146.0,6522.0,62.04,62.5,1,0,0,0,0
202,2020-11-10,7204.29,7231.23,715693.0,26547.0,62.04,62.5,0,1,0,0,0
203,2020-11-11,7252.96,7278.97,738094.0,22401.0,62.04,57.74,0,0,1,0,0
204,2020-11-12,7246.94,7202.56,762832.0,24738.0,62.04,57.74,0,0,0,1,0
205,2020-11-13,7178.64,7223.54,785093.0,22261.0,62.04,57.74,0,0,0,0,1
206,2020-11-16,7264.03,7264.92,817526.0,14580.0,62.04,57.74,1,0,0,0,0
207,2020-11-17,7259.16,7255.27,843757.0,26231.0,62.04,57.74,0,1,0,0,0
208,2020-11-18,7231.79,7293.13,867484.0,23727.0,62.04,57.74,0,0,1,0,0
209,2020-11-19,7263.09,7240.66,891525.0,24041.0,62.04,57.74,0,0,0,1,0
210,2020-11-20,7220.21,7274.4,914118.0,22593.0,62.04,57.74,0,0,0,0,1
211,2020-11-23,7311.45,7271.46,946822.0,14455.0,62.04,57.74,1,0,0,0,0
212,2020-11-24,7334.41,7344.11,963192.0,16370.0,62.04,57.74,0,1,0,0,0
213,2020-11-25,7370.78,7342.66,995879.0,32687.0,62.04,57.74,0,0,1,0,0
214,2020-11-26,7367.67,7347.31,1017830.0,21951.0,62.04,57.74,0,0,0,1,0
215,2020-11-27,7339.59,7380.9,1038649.0,20819.0,62.04,57.74,0,0,0,0,1
216,2020-11-30,7354.79,7358.02,1069912.0,14221.0,67.59,61.31,1,0,0,0,0
217,2020-12-01,7396.5,7400.43,1094678.0,24766.0,67.59,61.31,0,1,0,0,0
218,2020-12-02,7383.61,7366.39,1117953.0,23275.0,67.59,61.31,0,0,1,0,0
219,2020-12-03,7369.36,7345.43,1141544.0,23591.0,67.59,61.31,0,0,0,1,0
220,2020-12-04,7339.91,7380.53,1157514.0,15970.0,67.59,61.31,0,0,0,0,1
221,2020-12-07,7360.78,7365.28,1200006.0,5456.0,67.59,61.31,1,0,0,0,0
222,2020-12-08,7360.95,7377.23,1229269.0,29263.0,67.59,61.31,0,1,0,0,0
223,2020-12-09,7404.0,7400.14,1254358.0,25089.0,67.59,61.31,0,0,1,0,0
224,2020-12-10,7404.13,7383.48,1287092.0,32734.0,67.59,61.31,0,0,0,1,0
225,2020-12-11,7365.52,7299.75,1314309.0,27217.0,67.59,61.31,0,0,0,0,1
226,2020-12-14,7347.04,7351.58,1357261.0,6451.0,67.59,61.31,1,0,0,0,0
227,2020-12-15,7343.11,7411.16,1391086.0,33825.0,75.0,66.07,0,1,0,0,0
228,2020-12-16,7439.4,7509.9,1423830.0,32744.0,82.41,70.83,0,0,1,0,0
229,2020-12-17,7566.82,7567.42,1454009.0,30179.0,82.41,70.83,0,0,0,1,0
230,2020-12-18,7549.07,7561.05,1486839.0,32830.0,82.41,70.83,0,0,0,0,1
231,2020-12-21,7426.96,7364.58,1534218.0,19256.0,82.41,70.83,1,0,0,0,0
232,2020-12-22,7401.41,7459.81,1570371.0,36153.0,82.41,70.83,0,1,0,0,0
233,2020-12-23,7482.2,7546.88,1604129.0,33758.0,82.41,70.83,0,0,1,0,0
234,2020-12-28,7610.77,7646.9,1672643.0,14004.0,82.41,73.69,1,0,0,0,0
235,2020-12-29,7686.5,7649.63,1692109.0,19466.0,82.41,73.69,0,1,0,0,0
236,2020-12-30,7645.56,7623.11,1741153.0,49044.0,82.41,73.69,0,0,1,0,0
237,2021-01-04,7676.32,7632.54,1796216.0,12320.0,82.41,73.69,1,0,0,0,0
238,2021-01-05,7597.37,7606.58,1814565.0,18349.0,85.19,71.9,0,1,0,0,0
239,2021-01-06,7630.23,7713.32,1841228.0,26663.0,85.19,71.9,0,0,1,0,0
240,2021-01-07,7746.95,7751.38,1886561.0,45333.0,85.19,71.9,0,0,0,1,0
241,2021-01-08,7793.56,7793.59,1905638.0,19077.0,85.19,71.9,0,0,0,0,1
242,2021-01-11,7770.55,7731.52,1941116.0,11706.0,83.33,70.71,1,0,0,0,0
243,2021-01-12,7756.96,7730.91,1968326.0,27210.0,83.33,70.71,0,1,0,0,0
244,2021-01-13,7734.76,7742.69,1993892.0,25566.0,83.33,70.71,0,0,1,0,0
245,2021-01-14,7760.63,7783.07,2015235.0,21343.0,83.33,70.71,0,0,0,1,0
246,2021-01-15,7739.28,7667.35,2023828.0,8593.0,83.33,70.71,0,0,0,0,1
247,2021-01-18,7627.05,7700.15,2059382.0,9253.0,83.33,70.71,1,0,0,0,0
248,2021-01-19,7750.01,7691.71,2071615.0,12233.0,83.33,70.71,0,1,0,0,0
249,2021-01-20,7714.67,7754.7,2100618.0,29003.0,83.33,70.71,0,0,1,0,0
250,2021-01-21,7805.54,7753.44,2108895.0,8277.0,83.33,70.71,0,0,0,1,0
251,2021-01-22,7718.42,7732.34,2125261.0,16366.0,83.33,70.71,0,0,0,0,1
252,2021-01-25,7764.77,7616.3,2154656.0,6887.0,83.33,70.71,1,0,0,0,0
253,2021-01-26,7622.78,7722.98,2164043.0,9387.0,83.33,70.71,0,1,0,0,0
254,2021-01-27,7698.45,7602.25,2179679.0,15636.0,83.33,70.71,0,0,1,0,0
255,2021-01-28,7571.46,7629.16,2194562.0,14883.0,83.33,70.71,0,0,0,1,0
256,2021-01-29,7519.21,7507.55,2207393.0,12831.0,83.33,70.71,0,0,0,0,1
257,2021-02-01,7543.62,7606.92,2232327.0,6668.0,83.33,70.71,1,0,0,0,0
258,2021-02-02,7640.69,7737.36,2240017.0,7690.0,83.33,70.71,0,1,0,0,0
259,2021-02-03,7784.87,7789.2,2252504.0,12487.0,83.33,70.71,0,0,1,0,0
260,2021-02-04,7792.28,7856.38,2265536.0,13032.0,83.33,70.71,0,0,0,1,0
261,2021-02-05,7859.58,7856.92,2276371.0,10835.0,83.33,70.71,0,0,0,0,1
262,2021-02-08,7901.51,7863.31,2296323.0,4650.0,83.33,70.71,1,0,0,0,0
263,2021-02-09,7864.92,7828.75,2302051.0,5728.0,83.33,70.71,0,1,0,0,0
264,2021-02-10,7851.51,7786.74,2311297.0,9246.0,83.33,70.71,0,0,1,0,0
265,2021-02-11,7791.13,7854.65,2321225.0,9928.0,83.33,70.71,0,0,0,1,0
266,2021-02-12,7826.39,7862.43,2330422.0,9197.0,83.33,70.71,0,0,0,0,1
267,2021-02-15,7900.02,7907.44,2346876.0,5132.0,83.33,70.71,1,0,0,0,0
268,2021-02-16,7917.4,7895.84,2352766.0,5890.0,83.33,70.71,0,1,0,0,0
269,2021-02-17,7885.07,7807.89,2362364.0,9598.0,83.33,70.71,0,0,1,0,0
270,2021-02-18,7805.42,7772.43,2372209.0,9845.0,83.33,70.71,0,0,0,1,0
271,2021-02-19,7795.95,7827.01,2381259.0,9050.0,83.33,70.71,0,0,0,0,1
272,2021-02-22,7771.59,7793.9,2399499.0,4984.0,81.48,69.52,1,0,0,0,0
273,2021-02-23,7810.8,7741.1,2405263.0,5764.0,81.48,69.52,0,1,0,0,0
274,2021-02-24,7746.85,7800.37,2416037.0,10774.0,81.48,70.95,0,0,1,0,0
275,2021-02-25,7824.3,7747.37,2427069.0,11032.0,81.48,70.95,0,0,0,1,0
276,2021-02-26,7644.28,7683.51,2436506.0,9437.0,81.48,70.95,0,0,0,0,1
277,2021-03-01,7785.52,7820.71,2455569.0,5274.0,77.78,68.57,1,0,0,0,0
278,2021-03-02,7797.26,7822.13,2462061.0,6492.0,77.78,68.57,0,1,0,0,0
279,2021-03-03,7858.58,7829.99,2472913.0,10852.0,77.78,68.57,0,0,1,0,0
280,2021-03-04,7790.83,7806.04,2484306.0,11393.0,77.78,68.57,0,0,0,1,0
281,2021-03-05,7760.22,7709.36,2493887.0,9581.0,77.78,68.57,0,0,0,0,1
282,2021-03-08,7750.37,7944.68,2513784.0,5129.0,77.78,68.57,1,0,0,0,0
283,2021-03-09,7933.56,7986.66,2520618.0,6834.0,77.78,68.57,0,1,0,0,0
284,2021-03-10,7975.62,8025.58,2541781.0,21163.0,77.78,68.57,0,0,1,0,0
285,2021-03-11,8042.34,8058.6,2546526.0,4745.0,77.78,68.57,0,0,0,1,0
286,2021-03-12,8034.36,8022.47,2559296.0,12770.0,77.78,68.57,0,0,0,0,1
287,2021-03-15,8019.32,8007.09,2585385.0,6543.0,77.78,68.57,1,0,0,0,0
288,2021-03-16,8040.3,8066.28,2603064.0,17679.0,77.78,68.57,0,1,0,0,0
289,2021-03-17,8056.87,8069.63,2610769.0,7705.0,77.78,68.57,0,0,1,0,0
290,2021-03-18,8097.96,8152.21,2639258.0,28489.0,77.78,68.57,0,0,0,1,0
291,2021-03-19,8112.12,8062.68,2654734.0,15476.0,77.78,68.57,0,0,0,0,1
292,2021-03-22,8036.83,8090.13,2678262.0,8261.0,75.0,71.55,1,0,0,0,0
293,2021-03-23,8066.38,8084.11,2699231.0,20969.0,75.0,71.55,0,1,0,0,0
294,2021-03-24,8034.44,8050.18,2722988.0,23757.0,75.0,71.55,0,0,1,0,0
295,2021-03-25,8016.23,8043.88,2744608.0,21620.0,75.0,71.55,0,0,0,1,0
296,2021-03-26,8083.06,8114.88,2765297.0,20689.0,75.0,71.55,0,0,0,0,1
297,2021-03-29,8146.09,8136.02,2794949.0,10297.0,75.0,71.55,1,0,0,0,0
298,2021-03-30,8167.82,8231.89,2818630.0,23681.0,75.0,71.55,0,1,0,0,0
299,2021-03-31,8215.95,8229.6,2843644.0,25014.0,75.0,71.55,0,0,1,0,0
300,2021-04-01,8248.2,8308.22,2866323.0,22679.0,75.0,71.55,0,0,0,1,0
301,2021-04-06,8388.41,8362.85,2909902.0,7593.0,75.0,71.55,0,1,0,0,0
302,2021-04-07,8366.77,8347.8,2940279.0,30377.0,75.0,71.55,0,0,1,0,0
303,2021-04-08,8382.75,8367.36,2966789.0,26510.0,75.0,71.55,0,0,0,1,0
304,2021-04-09,8368.89,8386.77,2990724.0,23935.0,75.0,71.55,0,0,0,0,1
305,2021-04-12,8394.37,8362.39,3024604.0,12446.0,75.0,71.55,1,0,0,0,0
306,2021-04-13,8375.03,8379.31,3054025.0,29421.0,75.0,71.55,0,1,0,0,0
307,2021-04-14,8375.21,8373.55,3085142.0,31117.0,75.0,71.55,0,0,1,0,0
308,2021-04-15,8394.62,8412.95,3110252.0,25110.0,75.0,71.55,0,0,0,1,0
309,2021-04-16,8413.76,8514.43,3134108.0,23856.0,75.0,71.55,0,0,0,0,1
310,2021-04-19,8530.22,8465.69,3167137.0,11615.0,75.0,71.55,1,0,0,0,0
311,2021-04-20,8464.27,8327.53,3198534.0,31397.0,75.0,71.55,0,1,0,0,0
312,2021-04-21,8350.16,8355.86,3222888.0,24354.0,75.0,71.55,0,0,1,0,0
313,2021-04-22,8382.49,8429.72,3254609.0,31721.0,75.0,71.55,0,0,0,1,0
314,2021-04-23,8403.62,8405.25,3276871.0,22262.0,75.0,71.55,0,0,0,0,1
315,2021-04-26,8421.14,8430.99,3312653.0,5961.0,75.0,71.55,1,0,0,0,0
316,2021-04-27,8423.65,8410.02,3338564.0,25911.0,75.0,71.55,0,1,0,0,0
317,2021-04-28,8429.37,8422.36,3366827.0,28263.0,75.0,71.55,0,0,1,0,0
318,2021-04-29,8446.66,8352.79,3391039.0,24212.0,75.0,71.55,0,0,0,1,0
319,2021-04-30,8373.91,8342.23,3405365.0,14326.0,75.0,71.55,0,0,0,0,1
320,2021-05-03,8366.95,8396.15,3438186.0,5510.0,75.0,71.55,1,0,0,0,0
321,2021-05-04,8402.25,8182.22,3462297.0,24111.0,75.0,71.55,0,1,0,0,0
322,2021-05-05,8251.5,8343.27,3484755.0,22458.0,75.0,71.55,0,0,1,0,0
323,2021-05-06,8346.79,8341.29,3502672.0,17917.0,75.0,71.55,0,0,0,1,0
324,2021-05-07,8381.59,8449.58,3517762.0,15090.0,75.0,71.55,0,0,0,0,1
325,2021-05-10,8448.52,8438.25,3538208.0,7321.0,75.0,71.55,1,0,0,0,0
326,2021-05-11,8348.01,8278.82,3557904.0,19696.0,75.0,71.55,0,1,0,0,0
327,2021-05-12,8289.82,8284.95,3564494.0,6590.0,75.0,71.55,0,0,1,0,0
328,2021-05-13,8239.75,8308.48,3578125.0,13631.0,75.0,71.55,0,0,0,1,0
329,2021-05-14,8351.76,8429.54,3588502.0,10377.0,75.0,71.55,0,0,0,0,1
330,2021-05-17,8449.54,8416.58,3608320.0,5381.0,75.0,71.55,1,0,0,0,0
331,2021-05-18,8468.11,8420.99,3615896.0,7576.0,75.0,71.55,0,1,0,0,0
332,2021-05-19,8358.74,8282.14,3627777.0,11881.0,75.0,71.55,0,0,1,0,0
333,2021-05-20,8329.31,8417.24,3638504.0,10727.0,75.0,71.55,0,0,0,1,0
334,2021-05-21,8428.9,8451.7,3646600.0,8096.0,75.0,71.55,0,0,0,0,1
335,2021-05-25,8493.88,8478.49,3662568.0,2578.0,75.0,75.12,0,1,0,0,0
336,2021-05-26,8505.28,8476.65,3667041.0,4473.0,75.0,75.12,0,0,1,0,0
337,2021-05-27,8455.58,8482.28,3673990.0,6949.0,75.0,75.12,0,0,0,1,0
338,2021-05-28,8501.51,8548.74,3680159.0,6169.0,75.0,75.12,0,0,0,0,1
339,2021-05-31,8537.62,8498.74,3689921.0,2206.0,69.44,71.55,1,0,0,0,0
340,2021-06-01,8554.5,8583.51,3692908.0,2987.0,69.44,71.55,0,1,0,0,0
341,2021-06-02,8593.18,8596.74,3698004.0,5096.0,69.44,71.55,0,0,1,0,0
342,2021-06-03,8591.81,8607.37,3701692.0,3688.0,69.44,71.55,0,0,0,1,0
343,2021-06-04,8616.19,8645.31,3704685.0,2993.0,69.44,71.55,0,0,0,0,1
344,2021-06-07,8628.87,8652.8,3710342.0,1444.0,67.59,73.21,1,0,0,0,0
345,2021-06-08,8654.35,8628.3,3712595.0,2253.0,67.59,73.21,0,1,0,0,0
346,2021-06-09,8633.99,8605.03,3715870.0,3275.0,67.59,73.21,0,0,1,0,0
347,2021-06-10,8613.42,8598.85,3718617.0,2747.0,67.59,73.21,0,0,0,1,0
348,2021-06-11,8604.83,8666.38,3720811.0,2194.0,67.59,73.21,0,0,0,0,1
349,2021-06-14,8697.92,8666.74,3724168.0,873.0,67.59,73.21,1,0,0,0,0
350,2021-06-15,8705.0,8688.94,3725328.0,1160.0,67.59,73.21,0,1,0,0,0
351,2021-06-16,8712.93,8686.82,3726767.0,1439.0,67.59,73.21,0,0,1,0,0
352,2021-06-17,8645.97,8694.16,3727668.0,901.0,67.59,73.21,0,0,0,1,0
353,2021-06-18,8690.71,8562.08,3728601.0,933.0,67.59,73.21,0,0,0,0,1
354,2021-06-21,8520.15,8637.13,3730619.0,493.0,67.59,73.21,1,0,0,0,0
355,2021-06-22,8634.15,8653.07,3731304.0,685.0,67.59,73.21,0,1,0,0,0
356,2021-06-23,8671.89,8556.48,3732439.0,1135.0,67.59,73.21,0,0,1,0,0
357,2021-06-24,8596.18,8637.6,3732914.0,475.0,67.59,73.21,0,0,0,1,0
358,2021-06-25,8629.13,8649.76,3733665.0,751.0,67.59,73.21,0,0,0,0,1
359,2021-06-28,8633.65,8612.95,3734830.0,341.0,67.59,73.21,1,0,0,0,0
360,2021-06-29,8613.69,8670.29,3735399.0,569.0,67.59,73.21,0,1,0,0,0
361,2021-06-30,8670.3,8593.0,3736205.0,806.0,67.59,73.21,0,0,1,0,0
